StepID,SOP_ID,Order,Step_Title,Description,Acceptance_Criteria,Estimated_Duration,Input_Artifacts,Output_Artifacts,Automation_Candidate,KPI_Impacted
STEP-SOP-003-04,SOP-003,4,Market Research & Niche Validation – Step 4,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-003-05,SOP-003,5,Market Research & Niche Validation – Step 5,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-004-01,SOP-004,1,Product/Service Portfolio Management – Step 1,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-004-02,SOP-004,2,Product/Service Portfolio Management – Step 2,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-004-03,SOP-004,3,Product/Service Portfolio Management – Step 3,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-004-04,SOP-004,4,Product/Service Portfolio Management – Step 4,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-004-05,SOP-004,5,Product/Service Portfolio Management – Step 5,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-005-01,SOP-005,1,Pricing Strategy & Packaging – Step 1,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-005-02,SOP-005,2,Pricing Strategy & Packaging – Step 2,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-005-03,SOP-005,3,Pricing Strategy & Packaging – Step 3,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-005-04,SOP-005,4,Pricing Strategy & Packaging – Step 4,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-005-05,SOP-005,5,Pricing Strategy & Packaging – Step 5,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-006-01,SOP-006,1,Partner/Channel Strategy – Step 1,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-006-02,SOP-006,2,Partner/Channel Strategy – Step 2,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-006-03,SOP-006,3,Partner/Channel Strategy – Step 3,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-006-04,SOP-006,4,Partner/Channel Strategy – Step 4,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-006-05,SOP-006,5,Partner/Channel Strategy – Step 5,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-007-01,SOP-007,1,Brand Governance & Messaging – Step 1,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-007-02,SOP-007,2,Brand Governance & Messaging – Step 2,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-007-03,SOP-007,3,Brand Governance & Messaging – Step 3,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-007-04,SOP-007,4,Brand Governance & Messaging – Step 4,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-007-05,SOP-007,5,Brand Governance & Messaging – Step 5,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-008-01,SOP-008,1,SEO Content Lifecycle – Step 1,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-008-02,SOP-008,2,SEO Content Lifecycle – Step 2,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-008-03,SOP-008,3,SEO Content Lifecycle – Step 3,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-008-04,SOP-008,4,SEO Content Lifecycle – Step 4,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-008-05,SOP-008,5,SEO Content Lifecycle – Step 5,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-009-01,SOP-009,1,Content Repurposing & Syndication – Step 1,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-009-02,SOP-009,2,Content Repurposing & Syndication – Step 2,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-009-03,SOP-009,3,Content Repurposing & Syndication – Step 3,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-009-04,SOP-009,4,Content Repurposing & Syndication – Step 4,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-009-05,SOP-009,5,Content Repurposing & Syndication – Step 5,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-010-01,SOP-010,1,Social Media Calendar & Community – Step 1,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-010-02,SOP-010,2,Social Media Calendar & Community – Step 2,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-010-03,SOP-010,3,Social Media Calendar & Community – Step 3,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-010-04,SOP-010,4,Social Media Calendar & Community – Step 4,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-010-05,SOP-010,5,Social Media Calendar & Community – Step 5,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-011-01,SOP-011,1,Email List Building & Nurture – Step 1,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-011-02,SOP-011,2,Email List Building & Nurture – Step 2,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-011-03,SOP-011,3,Email List Building & Nurture – Step 3,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-011-04,SOP-011,4,Email List Building & Nurture – Step 4,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-011-05,SOP-011,5,Email List Building & Nurture – Step 5,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-012-01,SOP-012,1,Paid Ads Campaign Lifecycle – Step 1,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-012-02,SOP-012,2,Paid Ads Campaign Lifecycle – Step 2,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-012-03,SOP-012,3,Paid Ads Campaign Lifecycle – Step 3,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-012-04,SOP-012,4,Paid Ads Campaign Lifecycle – Step 4,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-012-05,SOP-012,5,Paid Ads Campaign Lifecycle – Step 5,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-013-01,SOP-013,1,Influencer/UGC Program – Step 1,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-013-02,SOP-013,2,Influencer/UGC Program – Step 2,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-013-03,SOP-013,3,Influencer/UGC Program – Step 3,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-013-04,SOP-013,4,Influencer/UGC Program – Step 4,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-013-05,SOP-013,5,Influencer/UGC Program – Step 5,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-014-01,SOP-014,1,PR & Thought Leadership – Step 1,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-014-02,SOP-014,2,PR & Thought Leadership – Step 2,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-014-03,SOP-014,3,PR & Thought Leadership – Step 3,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-014-04,SOP-014,4,PR & Thought Leadership – Step 4,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-014-05,SOP-014,5,PR & Thought Leadership – Step 5,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-015-01,SOP-015,1,Affiliate/Referral Program – Step 1,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-015-02,SOP-015,2,Affiliate/Referral Program – Step 2,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-015-03,SOP-015,3,Affiliate/Referral Program – Step 3,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-015-04,SOP-015,4,Affiliate/Referral Program – Step 4,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-015-05,SOP-015,5,Affiliate/Referral Program – Step 5,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-016-01,SOP-016,1,Web Analytics & CRO Loop – Step 1,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-016-02,SOP-016,2,Web Analytics & CRO Loop – Step 2,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-016-03,SOP-016,3,Web Analytics & CRO Loop – Step 3,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-016-04,SOP-016,4,Web Analytics & CRO Loop – Step 4,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-016-05,SOP-016,5,Web Analytics & CRO Loop – Step 5,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-017-01,SOP-017,1,Lead Intake & Qualification – Step 1,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-017-02,SOP-017,2,Lead Intake & Qualification – Step 2,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-017-03,SOP-017,3,Lead Intake & Qualification – Step 3,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-017-04,SOP-017,4,Lead Intake & Qualification – Step 4,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-017-05,SOP-017,5,Lead Intake & Qualification – Step 5,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-018-01,SOP-018,1,Discovery Call Workflow – Step 1,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-018-02,SOP-018,2,Discovery Call Workflow – Step 2,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-018-03,SOP-018,3,Discovery Call Workflow – Step 3,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-018-04,SOP-018,4,Discovery Call Workflow – Step 4,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-018-05,SOP-018,5,Discovery Call Workflow – Step 5,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-019-01,SOP-019,1,Solutioning/Demo Workflow – Step 1,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-019-02,SOP-019,2,Solutioning/Demo Workflow – Step 2,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-019-03,SOP-019,3,Solutioning/Demo Workflow – Step 3,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-019-04,SOP-019,4,Solutioning/Demo Workflow – Step 4,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-019-05,SOP-019,5,Solutioning/Demo Workflow – Step 5,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-020-01,SOP-020,1,Proposal & SOW Creation – Step 1,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-020-02,SOP-020,2,Proposal & SOW Creation – Step 2,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-020-03,SOP-020,3,Proposal & SOW Creation – Step 3,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-020-04,SOP-020,4,Proposal & SOW Creation – Step 4,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-020-05,SOP-020,5,Proposal & SOW Creation – Step 5,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-021-01,SOP-021,1,Contracting & eSignature – Step 1,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-021-02,SOP-021,2,Contracting & eSignature – Step 2,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-021-03,SOP-021,3,Contracting & eSignature – Step 3,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-021-04,SOP-021,4,Contracting & eSignature – Step 4,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-021-05,SOP-021,5,Contracting & eSignature – Step 5,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-022-01,SOP-022,1,Deal Desk & Discounting – Step 1,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-022-02,SOP-022,2,Deal Desk & Discounting – Step 2,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-022-03,SOP-022,3,Deal Desk & Discounting – Step 3,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-022-04,SOP-022,4,Deal Desk & Discounting – Step 4,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-022-05,SOP-022,5,Deal Desk & Discounting – Step 5,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-023-01,SOP-023,1,Pipeline Hygiene & Forecasting – Step 1,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-023-02,SOP-023,2,Pipeline Hygiene & Forecasting – Step 2,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-023-03,SOP-023,3,Pipeline Hygiene & Forecasting – Step 3,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-023-04,SOP-023,4,Pipeline Hygiene & Forecasting – Step 4,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-023-05,SOP-023,5,Pipeline Hygiene & Forecasting – Step 5,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-024-01,SOP-024,1,Onboarding Handoff (Sales→Delivery) – Step 1,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-024-02,SOP-024,2,Onboarding Handoff (Sales→Delivery) – Step 2,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-024-03,SOP-024,3,Onboarding Handoff (Sales→Delivery) – Step 3,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-024-04,SOP-024,4,Onboarding Handoff (Sales→Delivery) – Step 4,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-024-05,SOP-024,5,Onboarding Handoff (Sales→Delivery) – Step 5,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-025-01,SOP-025,1,Welcome & Kickoff – Step 1,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-025-02,SOP-025,2,Welcome & Kickoff – Step 2,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-025-03,SOP-025,3,Welcome & Kickoff – Step 3,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-025-04,SOP-025,4,Welcome & Kickoff – Step 4,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-025-05,SOP-025,5,Welcome & Kickoff – Step 5,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-026-01,SOP-026,1,Requirements Gathering – Step 1,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-026-02,SOP-026,2,Requirements Gathering – Step 2,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
STEP-SOP-026-03,SOP-026,3,Requirements Gathering – Step 3,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,No,Primary KPI TBD
STEP-SOP-026-04,SOP-026,4,Requirements Gathering – Step 4,"Describe the action, inputs, outputs, and acceptance criteria.",Passes QA checklist,30-60 min,As listed in SOP,As listed in SOP,Candidate,Primary KPI TBD
