MappingID,BusinessID,ProcessID,Priority,Maturity_Level_0to5,R_Responsible,A_Accountable,C_Consulted,I_Informed
MAP-00019,BU-001,PROC-019,High,2,Sales Lead,Executive Sponsor,Marketing Lead,Operations Lead
MAP-00020,BU-001,PROC-020,High,2,Sales Lead,Executive Sponsor,Marketing Lead,Operations Lead
MAP-00021,BU-001,PROC-021,High,2,Sales Lead,Executive Sponsor,Marketing Lead,Operations Lead
MAP-00022,BU-001,PROC-022,High,2,Sales Lead,Executive Sponsor,Marketing Lead,Operations Lead
MAP-00023,BU-001,PROC-023,High,2,Sales Lead,Executive Sponsor,Marketing Lead,Operations Lead
MAP-00024,BU-001,PROC-024,High,2,Sales Lead,Executive Sponsor,Marketing Lead,Operations Lead
MAP-00025,BU-001,PROC-025,High,2,Customer Success Lead,Operations Lead,Sales Lead,Marketing Lead
MAP-00026,BU-001,PROC-026,High,2,Customer Success Lead,Operations Lead,Sales Lead,Marketing Lead
MAP-00027,BU-001,PROC-027,High,2,Customer Success Lead,Operations Lead,Sales Lead,Marketing Lead
MAP-00028,BU-001,PROC-028,High,2,Customer Success Lead,Operations Lead,Sales Lead,Marketing Lead
MAP-00029,BU-001,PROC-029,High,2,Customer Success Lead,Operations Lead,Sales Lead,Marketing Lead
MAP-00030,BU-001,PROC-030,High,2,Customer Success Lead,Operations Lead,Sales Lead,Marketing Lead
MAP-00031,BU-001,PROC-031,High,2,Customer Success Lead,Operations Lead,Sales Lead,Marketing Lead
MAP-00032,BU-001,PROC-032,Medium,2,Operations Lead,Executive Sponsor,Customer Success Lead,Support Lead
MAP-00033,BU-001,PROC-033,Low,2,Operations Lead,Executive Sponsor,Customer Success Lead,Support Lead
MAP-00034,BU-001,PROC-034,Medium,2,Operations Lead,Executive Sponsor,Customer Success Lead,Support Lead
MAP-00035,BU-001,PROC-035,Medium,2,Operations Lead,Executive Sponsor,Customer Success Lead,Support Lead
MAP-00036,BU-001,PROC-036,Medium,2,Operations Lead,Executive Sponsor,Customer Success Lead,Support Lead
MAP-00037,BU-001,PROC-037,Medium,2,Operations Lead,Executive Sponsor,Customer Success Lead,Support Lead
MAP-00038,BU-001,PROC-038,Medium,2,Operations Lead,Finance Lead,Support Lead,Executive Sponsor
MAP-00039,BU-001,PROC-039,Medium,2,Operations Lead,Finance Lead,Support Lead,Executive Sponsor
MAP-00040,BU-001,PROC-040,Medium,2,Operations Lead,Finance Lead,Support Lead,Executive Sponsor
MAP-00041,BU-001,PROC-041,Low,2,Operations Lead,Finance Lead,Support Lead,Executive Sponsor
MAP-00042,BU-001,PROC-042,Medium,2,Operations Lead,Finance Lead,Support Lead,Executive Sponsor
MAP-00043,BU-001,PROC-043,Low,2,Operations Lead,Finance Lead,Support Lead,Executive Sponsor
MAP-00044,BU-001,PROC-044,Low,2,Product/Engineering Lead,Executive Sponsor,Support Lead,Operations Lead
MAP-00045,BU-001,PROC-045,Medium,2,Product/Engineering Lead,Executive Sponsor,Support Lead,Operations Lead
MAP-00046,BU-001,PROC-046,Medium,2,Product/Engineering Lead,Executive Sponsor,Support Lead,Operations Lead
MAP-00047,BU-001,PROC-047,Low,2,Product/Engineering Lead,Executive Sponsor,Support Lead,Operations Lead
MAP-00048,BU-001,PROC-048,Low,2,Product/Engineering Lead,Executive Sponsor,Support Lead,Operations Lead
MAP-00049,BU-001,PROC-049,Low,2,Product/Engineering Lead,Executive Sponsor,Support Lead,Operations Lead
MAP-00050,BU-001,PROC-050,Medium,2,Product/Engineering Lead,Executive Sponsor,Support Lead,Operations Lead
MAP-00051,BU-001,PROC-051,Medium,2,Support Lead,Customer Success Lead,Operations Lead,Executive Sponsor
MAP-00052,BU-001,PROC-052,Low,2,Support Lead,Customer Success Lead,Operations Lead,Executive Sponsor
MAP-00053,BU-001,PROC-053,Medium,2,Support Lead,Customer Success Lead,Operations Lead,Executive Sponsor
MAP-00054,BU-001,PROC-054,Medium,2,Support Lead,Customer Success Lead,Operations Lead,Executive Sponsor
MAP-00055,BU-001,PROC-055,Low,2,Support Lead,Customer Success Lead,Operations Lead,Executive Sponsor
MAP-00056,BU-001,PROC-056,Medium,2,Support Lead,Customer Success Lead,Operations Lead,Executive Sponsor
MAP-00057,BU-001,PROC-057,High,2,Finance Lead,Executive Sponsor,Operations Lead,HR/People Ops
MAP-00058,BU-001,PROC-058,High,2,Finance Lead,Executive Sponsor,Operations Lead,HR/People Ops
MAP-00059,BU-001,PROC-059,High,2,Finance Lead,Executive Sponsor,Operations Lead,HR/People Ops
MAP-00060,BU-001,PROC-060,High,2,Finance Lead,Executive Sponsor,Operations Lead,HR/People Ops
MAP-00061,BU-001,PROC-061,High,2,Finance Lead,Executive Sponsor,Operations Lead,HR/People Ops
MAP-00062,BU-001,PROC-062,High,2,Finance Lead,Executive Sponsor,Operations Lead,HR/People Ops
MAP-00063,BU-001,PROC-063,High,2,Finance Lead,Executive Sponsor,Operations Lead,HR/People Ops
MAP-00064,BU-001,PROC-064,Low,2,HR/People Ops,Executive Sponsor,Operations Lead,Finance Lead
MAP-00065,BU-001,PROC-065,Low,2,HR/People Ops,Executive Sponsor,Operations Lead,Finance Lead
MAP-00066,BU-001,PROC-066,Low,2,HR/People Ops,Executive Sponsor,Operations Lead,Finance Lead
MAP-00067,BU-001,PROC-067,Medium,2,HR/People Ops,Executive Sponsor,Operations Lead,Finance Lead
MAP-00068,BU-001,PROC-068,Low,2,HR/People Ops,Executive Sponsor,Operations Lead,Finance Lead
MAP-00069,BU-001,PROC-069,Medium,2,HR/People Ops,Executive Sponsor,Operations Lead,Finance Lead
MAP-00070,BU-001,PROC-070,Low,2,HR/People Ops,Executive Sponsor,Operations Lead,Finance Lead
MAP-00071,BU-001,PROC-071,Medium,2,Compliance Officer,Executive Sponsor,Finance Lead,Operations Lead
MAP-00072,BU-001,PROC-072,Low,2,Compliance Officer,Executive Sponsor,Finance Lead,Operations Lead
MAP-00073,BU-001,PROC-073,Low,2,Compliance Officer,Executive Sponsor,Finance Lead,Operations Lead
MAP-00074,BU-001,PROC-074,Medium,2,Compliance Officer,Executive Sponsor,Finance Lead,Operations Lead
MAP-00075,BU-001,PROC-075,Medium,2,Compliance Officer,Executive Sponsor,Finance Lead,Operations Lead
MAP-00076,BU-001,PROC-076,Medium,2,Compliance Officer,Executive Sponsor,Finance Lead,Operations Lead
MAP-00077,BU-001,PROC-077,Medium,2,Compliance Officer,Executive Sponsor,Finance Lead,Operations Lead
MAP-00078,BU-001,PROC-078,High,2,Automation Architect,Product/Engineering Lead,Data/Analytics Lead,Operations Lead
MAP-00079,BU-001,PROC-079,High,2,Automation Architect,Product/Engineering Lead,Data/Analytics Lead,Operations Lead
MAP-00080,BU-001,PROC-080,High,2,Automation Architect,Product/Engineering Lead,Data/Analytics Lead,Operations Lead
MAP-00081,BU-001,PROC-081,High,2,Automation Architect,Product/Engineering Lead,Data/Analytics Lead,Operations Lead
MAP-00082,BU-001,PROC-082,High,2,Automation Architect,Product/Engineering Lead,Data/Analytics Lead,Operations Lead
MAP-00083,BU-001,PROC-083,High,2,Automation Architect,Product/Engineering Lead,Data/Analytics Lead,Operations Lead
MAP-00084,BU-001,PROC-084,Low,2,Operations Lead,Executive Sponsor,Compliance Officer,Finance Lead
MAP-00085,BU-001,PROC-085,Medium,2,Operations Lead,Executive Sponsor,Compliance Officer,Finance Lead
MAP-00086,BU-001,PROC-086,Medium,2,Operations Lead,Executive Sponsor,Compliance Officer,Finance Lead
MAP-00087,BU-001,PROC-087,Medium,2,Operations Lead,Executive Sponsor,Compliance Officer,Finance Lead
MAP-00088,BU-001,PROC-088,Low,2,Operations Lead,Executive Sponsor,Compliance Officer,Finance Lead
MAP-00089,BU-001,PROC-089,Low,2,Operations Lead,Executive Sponsor,Compliance Officer,Finance Lead
MAP-00090,BU-001,PROC-090,Low,2,Operations Lead,Executive Sponsor,Compliance Officer,Finance Lead
MAP-00091,BU-001,PROC-091,Low,2,Operations Lead,Executive Sponsor,Compliance Officer,Finance Lead
MAP-00092,BU-001,PROC-092,High,2,Operations Lead,Executive Sponsor,Marketing Lead,Support Lead
MAP-00093,BU-001,PROC-093,High,2,Operations Lead,Executive Sponsor,Marketing Lead,Support Lead
MAP-00094,BU-001,PROC-094,High,2,Operations Lead,Executive Sponsor,Marketing Lead,Support Lead
MAP-00095,BU-001,PROC-095,High,2,Operations Lead,Executive Sponsor,Marketing Lead,Support Lead
MAP-00096,BU-001,PROC-096,High,2,Operations Lead,Executive Sponsor,Marketing Lead,Support Lead
MAP-00097,BU-001,PROC-097,High,2,Operations Lead,Executive Sponsor,Marketing Lead,Support Lead
MAP-00098,BU-002,PROC-001,Medium,2,Executive Sponsor,Operations Lead,Marketing Lead,Finance Lead
MAP-00099,BU-002,PROC-002,Low,2,Executive Sponsor,Operations Lead,Marketing Lead,Finance Lead
MAP-00100,BU-002,PROC-003,Low,2,Executive Sponsor,Operations Lead,Marketing Lead,Finance Lead
MAP-00101,BU-002,PROC-004,Medium,2,Executive Sponsor,Operations Lead,Marketing Lead,Finance Lead
MAP-00102,BU-002,PROC-005,Low,2,Executive Sponsor,Operations Lead,Marketing Lead,Finance Lead
MAP-00103,BU-002,PROC-006,Medium,2,Executive Sponsor,Operations Lead,Marketing Lead,Finance Lead
MAP-00104,BU-002,PROC-007,Medium,2,Executive Sponsor,Operations Lead,Marketing Lead,Finance Lead
MAP-00105,BU-002,PROC-008,High,2,Marketing Lead,Executive Sponsor,Sales Lead,Operations Lead
MAP-00106,BU-002,PROC-009,High,2,Marketing Lead,Executive Sponsor,Sales Lead,Operations Lead
MAP-00107,BU-002,PROC-010,High,2,Marketing Lead,Executive Sponsor,Sales Lead,Operations Lead
MAP-00108,BU-002,PROC-011,High,2,Marketing Lead,Executive Sponsor,Sales Lead,Operations Lead
MAP-00109,BU-002,PROC-012,High,2,Marketing Lead,Executive Sponsor,Sales Lead,Operations Lead
MAP-00110,BU-002,PROC-013,High,2,Marketing Lead,Executive Sponsor,Sales Lead,Operations Lead
MAP-00111,BU-002,PROC-014,High,2,Marketing Lead,Executive Sponsor,Sales Lead,Operations Lead
MAP-00112,BU-002,PROC-015,High,2,Marketing Lead,Executive Sponsor,Sales Lead,Operations Lead
MAP-00113,BU-002,PROC-016,High,2,Marketing Lead,Executive Sponsor,Sales Lead,Operations Lead
MAP-00114,BU-002,PROC-017,Medium,2,Sales Lead,Executive Sponsor,Marketing Lead,Operations Lead
MAP-00115,BU-002,PROC-018,Medium,2,Sales Lead,Executive Sponsor,Marketing Lead,Operations Lead
MAP-00116,BU-002,PROC-019,Low,2,Sales Lead,Executive Sponsor,Marketing Lead,Operations Lead
MAP-00117,BU-002,PROC-020,Low,2,Sales Lead,Executive Sponsor,Marketing Lead,Operations Lead
MAP-00118,BU-002,PROC-021,Low,2,Sales Lead,Executive Sponsor,Marketing Lead,Operations Lead
MAP-00119,BU-002,PROC-022,Medium,2,Sales Lead,Executive Sponsor,Marketing Lead,Operations Lead
MAP-00120,BU-002,PROC-023,Low,2,Sales Lead,Executive Sponsor,Marketing Lead,Operations Lead
MAP-00121,BU-002,PROC-024,Medium,2,Sales Lead,Executive Sponsor,Marketing Lead,Operations Lead
MAP-00122,BU-002,PROC-025,Medium,2,Customer Success Lead,Operations Lead,Sales Lead,Marketing Lead
MAP-00123,BU-002,PROC-026,Medium,2,Customer Success Lead,Operations Lead,Sales Lead,Marketing Lead
MAP-00124,BU-002,PROC-027,Low,2,Customer Success Lead,Operations Lead,Sales Lead,Marketing Lead
MAP-00125,BU-002,PROC-028,Low,2,Customer Success Lead,Operations Lead,Sales Lead,Marketing Lead
MAP-00126,BU-002,PROC-029,Low,2,Customer Success Lead,Operations Lead,Sales Lead,Marketing Lead
MAP-00127,BU-002,PROC-030,Medium,2,Customer Success Lead,Operations Lead,Sales Lead,Marketing Lead
MAP-00128,BU-002,PROC-031,Medium,2,Customer Success Lead,Operations Lead,Sales Lead,Marketing Lead
MAP-00129,BU-002,PROC-032,Low,2,Operations Lead,Executive Sponsor,Customer Success Lead,Support Lead
MAP-00130,BU-002,PROC-033,Medium,2,Operations Lead,Executive Sponsor,Customer Success Lead,Support Lead
MAP-00131,BU-002,PROC-034,Low,2,Operations Lead,Executive Sponsor,Customer Success Lead,Support Lead
MAP-00132,BU-002,PROC-035,Low,2,Operations Lead,Executive Sponsor,Customer Success Lead,Support Lead
MAP-00133,BU-002,PROC-036,Low,2,Operations Lead,Executive Sponsor,Customer Success Lead,Support Lead
MAP-00134,BU-002,PROC-037,Medium,2,Operations Lead,Executive Sponsor,Customer Success Lead,Support Lead
MAP-00135,BU-002,PROC-038,Low,2,Operations Lead,Finance Lead,Support Lead,Executive Sponsor
MAP-00136,BU-002,PROC-039,Medium,2,Operations Lead,Finance Lead,Support Lead,Executive Sponsor
MAP-00137,BU-002,PROC-040,Medium,2,Operations Lead,Finance Lead,Support Lead,Executive Sponsor
MAP-00138,BU-002,PROC-041,Low,2,Operations Lead,Finance Lead,Support Lead,Executive Sponsor
MAP-00139,BU-002,PROC-042,Low,2,Operations Lead,Finance Lead,Support Lead,Executive Sponsor
MAP-00140,BU-002,PROC-043,Low,2,Operations Lead,Finance Lead,Support Lead,Executive Sponsor
MAP-00141,BU-002,PROC-044,Low,2,Product/Engineering Lead,Executive Sponsor,Support Lead,Operations Lead
MAP-00142,BU-002,PROC-045,Medium,2,Product/Engineering Lead,Executive Sponsor,Support Lead,Operations Lead
MAP-00143,BU-002,PROC-046,Medium,2,Product/Engineering Lead,Executive Sponsor,Support Lead,Operations Lead
MAP-00144,BU-002,PROC-047,Low,2,Product/Engineering Lead,Executive Sponsor,Support Lead,Operations Lead
MAP-00145,BU-002,PROC-048,Medium,2,Product/Engineering Lead,Executive Sponsor,Support Lead,Operations Lead
MAP-00146,BU-002,PROC-049,Medium,2,Product/Engineering Lead,Executive Sponsor,Support Lead,Operations Lead
MAP-00147,BU-002,PROC-050,Medium,2,Product/Engineering Lead,Executive Sponsor,Support Lead,Operations Lead
MAP-00148,BU-002,PROC-051,High,2,Support Lead,Customer Success Lead,Operations Lead,Executive Sponsor
MAP-00149,BU-002,PROC-052,High,2,Support Lead,Customer Success Lead,Operations Lead,Executive Sponsor
MAP-00150,BU-002,PROC-053,High,2,Support Lead,Customer Success Lead,Operations Lead,Executive Sponsor
MAP-00151,BU-002,PROC-054,High,2,Support Lead,Customer Success Lead,Operations Lead,Executive Sponsor
MAP-00152,BU-002,PROC-055,High,2,Support Lead,Customer Success Lead,Operations Lead,Executive Sponsor
MAP-00153,BU-002,PROC-056,High,2,Support Lead,Customer Success Lead,Operations Lead,Executive Sponsor
MAP-00154,BU-002,PROC-057,High,2,Finance Lead,Executive Sponsor,Operations Lead,HR/People Ops
MAP-00155,BU-002,PROC-058,High,2,Finance Lead,Executive Sponsor,Operations Lead,HR/People Ops
MAP-00156,BU-002,PROC-059,High,2,Finance Lead,Executive Sponsor,Operations Lead,HR/People Ops
MAP-00157,BU-002,PROC-060,High,2,Finance Lead,Executive Sponsor,Operations Lead,HR/People Ops
MAP-00158,BU-002,PROC-061,High,2,Finance Lead,Executive Sponsor,Operations Lead,HR/People Ops
MAP-00159,BU-002,PROC-062,High,2,Finance Lead,Executive Sponsor,Operations Lead,HR/People Ops
MAP-00160,BU-002,PROC-063,High,2,Finance Lead,Executive Sponsor,Operations Lead,HR/People Ops
MAP-00161,BU-002,PROC-064,Medium,2,HR/People Ops,Executive Sponsor,Operations Lead,Finance Lead
MAP-00162,BU-002,PROC-065,Medium,2,HR/People Ops,Executive Sponsor,Operations Lead,Finance Lead
MAP-00163,BU-002,PROC-066,Low,2,HR/People Ops,Executive Sponsor,Operations Lead,Finance Lead
MAP-00164,BU-002,PROC-067,Medium,2,HR/People Ops,Executive Sponsor,Operations Lead,Finance Lead
MAP-00165,BU-002,PROC-068,Low,2,HR/People Ops,Executive Sponsor,Operations Lead,Finance Lead
MAP-00166,BU-002,PROC-069,Low,2,HR/People Ops,Executive Sponsor,Operations Lead,Finance Lead
MAP-00167,BU-002,PROC-070,Low,2,HR/People Ops,Executive Sponsor,Operations Lead,Finance Lead
MAP-00168,BU-002,PROC-071,Low,2,Compliance Officer,Executive Sponsor,Finance Lead,Operations Lead
MAP-00169,BU-002,PROC-072,Medium,2,Compliance Officer,Executive Sponsor,Finance Lead,Operations Lead
MAP-00170,BU-002,PROC-073,Medium,2,Compliance Officer,Executive Sponsor,Finance Lead,Operations Lead
MAP-00171,BU-002,PROC-074,Low,2,Compliance Officer,Executive Sponsor,Finance Lead,Operations Lead
MAP-00172,BU-002,PROC-075,Low,2,Compliance Officer,Executive Sponsor,Finance Lead,Operations Lead
MAP-00173,BU-002,PROC-076,Medium,2,Compliance Officer,Executive Sponsor,Finance Lead,Operations Lead
MAP-00174,BU-002,PROC-077,Low,2,Compliance Officer,Executive Sponsor,Finance Lead,Operations Lead
MAP-00175,BU-002,PROC-078,Low,2,Automation Architect,Product/Engineering Lead,Data/Analytics Lead,Operations Lead
MAP-00176,BU-002,PROC-079,Medium,2,Automation Architect,Product/Engineering Lead,Data/Analytics Lead,Operations Lead
MAP-00177,BU-002,PROC-080,Low,2,Automation Architect,Product/Engineering Lead,Data/Analytics Lead,Operations Lead
MAP-00178,BU-002,PROC-081,Medium,2,Automation Architect,Product/Engineering Lead,Data/Analytics Lead,Operations Lead
MAP-00179,BU-002,PROC-082,Low,2,Automation Architect,Product/Engineering Lead,Data/Analytics Lead,Operations Lead
MAP-00180,BU-002,PROC-083,Medium,2,Automation Architect,Product/Engineering Lead,Data/Analytics Lead,Operations Lead
MAP-00181,BU-002,PROC-084,Medium,2,Operations Lead,Executive Sponsor,Compliance Officer,Finance Lead
MAP-00182,BU-002,PROC-085,Low,2,Operations Lead,Executive Sponsor,Compliance Officer,Finance Lead
MAP-00183,BU-002,PROC-086,Medium,2,Operations Lead,Executive Sponsor,Compliance Officer,Finance Lead
MAP-00184,BU-002,PROC-087,Medium,2,Operations Lead,Executive Sponsor,Compliance Officer,Finance Lead
MAP-00185,BU-002,PROC-088,Low,2,Operations Lead,Executive Sponsor,Compliance Officer,Finance Lead
MAP-00186,BU-002,PROC-089,Medium,2,Operations Lead,Executive Sponsor,Compliance Officer,Finance Lead
MAP-00187,BU-002,PROC-090,Medium,2,Operations Lead,Executive Sponsor,Compliance Officer,Finance Lead
MAP-00188,BU-002,PROC-091,Low,2,Operations Lead,Executive Sponsor,Compliance Officer,Finance Lead
MAP-00189,BU-002,PROC-092,High,2,Operations Lead,Executive Sponsor,Marketing Lead,Support Lead
MAP-00190,BU-002,PROC-093,High,2,Operations Lead,Executive Sponsor,Marketing Lead,Support Lead
MAP-00191,BU-002,PROC-094,High,2,Operations Lead,Executive Sponsor,Marketing Lead,Support Lead
MAP-00192,BU-002,PROC-095,High,2,Operations Lead,Executive Sponsor,Marketing Lead,Support Lead
MAP-00193,BU-002,PROC-096,High,2,Operations Lead,Executive Sponsor,Marketing Lead,Support Lead
MAP-00194,BU-002,PROC-097,High,2,Operations Lead,Executive Sponsor,Marketing Lead,Support Lead
MAP-00195,BU-003,PROC-001,Low,2,Executive Sponsor,Operations Lead,Marketing Lead,Finance Lead
MAP-00196,BU-003,PROC-002,Medium,2,Executive Sponsor,Operations Lead,Marketing Lead,Finance Lead
MAP-00197,BU-003,PROC-003,Medium,2,Executive Sponsor,Operations Lead,Marketing Lead,Finance Lead
MAP-00198,BU-003,PROC-004,Low,2,Executive Sponsor,Operations Lead,Marketing Lead,Finance Lead
MAP-00199,BU-003,PROC-005,Low,2,Executive Sponsor,Operations Lead,Marketing Lead,Finance Lead
MAP-00200,BU-003,PROC-006,Medium,2,Executive Sponsor,Operations Lead,Marketing Lead,Finance Lead
MAP-00201,BU-003,PROC-007,Medium,2,Executive Sponsor,Operations Lead,Marketing Lead,Finance Lead
MAP-00202,BU-003,PROC-008,High,2,Marketing Lead,Executive Sponsor,Sales Lead,Operations Lead
MAP-00203,BU-003,PROC-009,High,2,Marketing Lead,Executive Sponsor,Sales Lead,Operations Lead
MAP-00204,BU-003,PROC-010,High,2,Marketing Lead,Executive Sponsor,Sales Lead,Operations Lead
MAP-00205,BU-003,PROC-011,High,2,Marketing Lead,Executive Sponsor,Sales Lead,Operations Lead
MAP-00206,BU-003,PROC-012,High,2,Marketing Lead,Executive Sponsor,Sales Lead,Operations Lead
MAP-00207,BU-003,PROC-013,High,2,Marketing Lead,Executive Sponsor,Sales Lead,Operations Lead
MAP-00208,BU-003,PROC-014,High,2,Marketing Lead,Executive Sponsor,Sales Lead,Operations Lead
MAP-00209,BU-003,PROC-015,High,2,Marketing Lead,Executive Sponsor,Sales Lead,Operations Lead
MAP-00210,BU-003,PROC-016,High,2,Marketing Lead,Executive Sponsor,Sales Lead,Operations Lead
MAP-00211,BU-003,PROC-017,High,2,Sales Lead,Executive Sponsor,Marketing Lead,Operations Lead
MAP-00212,BU-003,PROC-018,High,2,Sales Lead,Executive Sponsor,Marketing Lead,Operations Lead
MAP-00213,BU-003,PROC-019,High,2,Sales Lead,Executive Sponsor,Marketing Lead,Operations Lead
MAP-00214,BU-003,PROC-020,High,2,Sales Lead,Executive Sponsor,Marketing Lead,Operations Lead
MAP-00215,BU-003,PROC-021,High,2,Sales Lead,Executive Sponsor,Marketing Lead,Operations Lead
MAP-00216,BU-003,PROC-022,High,2,Sales Lead,Executive Sponsor,Marketing Lead,Operations Lead
MAP-00217,BU-003,PROC-023,High,2,Sales Lead,Executive Sponsor,Marketing Lead,Operations Lead
MAP-00218,BU-003,PROC-024,High,2,Sales Lead,Executive Sponsor,Marketing Lead,Operations Lead
MAP-00219,BU-003,PROC-025,Medium,2,Customer Success Lead,Operations Lead,Sales Lead,Marketing Lead
MAP-00220,BU-003,PROC-026,Medium,2,Customer Success Lead,Operations Lead,Sales Lead,Marketing Lead
MAP-00221,BU-003,PROC-027,Medium,2,Customer Success Lead,Operations Lead,Sales Lead,Marketing Lead
MAP-00222,BU-003,PROC-028,Low,2,Customer Success Lead,Operations Lead,Sales Lead,Marketing Lead
MAP-00223,BU-003,PROC-029,Medium,2,Customer Success Lead,Operations Lead,Sales Lead,Marketing Lead
MAP-00224,BU-003,PROC-030,Medium,2,Customer Success Lead,Operations Lead,Sales Lead,Marketing Lead
MAP-00225,BU-003,PROC-031,Medium,2,Customer Success Lead,Operations Lead,Sales Lead,Marketing Lead
MAP-00226,BU-003,PROC-032,Low,2,Operations Lead,Executive Sponsor,Customer Success Lead,Support Lead
MAP-00227,BU-003,PROC-033,Medium,2,Operations Lead,Executive Sponsor,Customer Success Lead,Support Lead
MAP-00228,BU-003,PROC-034,Low,2,Operations Lead,Executive Sponsor,Customer Success Lead,Support Lead
MAP-00229,BU-003,PROC-035,Low,2,Operations Lead,Executive Sponsor,Customer Success Lead,Support Lead
MAP-00230,BU-003,PROC-036,Medium,2,Operations Lead,Executive Sponsor,Customer Success Lead,Support Lead
MAP-00231,BU-003,PROC-037,Medium,2,Operations Lead,Executive Sponsor,Customer Success Lead,Support Lead
MAP-00232,BU-003,PROC-038,Low,2,Operations Lead,Finance Lead,Support Lead,Executive Sponsor
MAP-00233,BU-003,PROC-039,Low,2,Operations Lead,Finance Lead,Support Lead,Executive Sponsor
MAP-00234,BU-003,PROC-040,Low,2,Operations Lead,Finance Lead,Support Lead,Executive Sponsor
MAP-00235,BU-003,PROC-041,Low,2,Operations Lead,Finance Lead,Support Lead,Executive Sponsor
MAP-00236,BU-003,PROC-042,Low,2,Operations Lead,Finance Lead,Support Lead,Executive Sponsor
MAP-00237,BU-003,PROC-043,Medium,2,Operations Lead,Finance Lead,Support Lead,Executive Sponsor
MAP-00238,BU-003,PROC-044,Medium,2,Product/Engineering Lead,Executive Sponsor,Support Lead,Operations Lead
MAP-00239,BU-003,PROC-045,Medium,2,Product/Engineering Lead,Executive Sponsor,Support Lead,Operations Lead
MAP-00240,BU-003,PROC-046,Medium,2,Product/Engineering Lead,Executive Sponsor,Support Lead,Operations Lead
MAP-00241,BU-003,PROC-047,Low,2,Product/Engineering Lead,Executive Sponsor,Support Lead,Operations Lead
MAP-00242,BU-003,PROC-048,Medium,2,Product/Engineering Lead,Executive Sponsor,Support Lead,Operations Lead
MAP-00243,BU-003,PROC-049,Medium,2,Product/Engineering Lead,Executive Sponsor,Support Lead,Operations Lead
MAP-00244,BU-003,PROC-050,Medium,2,Product/Engineering Lead,Executive Sponsor,Support Lead,Operations Lead
MAP-00245,BU-003,PROC-051,Medium,2,Support Lead,Customer Success Lead,Operations Lead,Executive Sponsor
MAP-00246,BU-003,PROC-052,Medium,2,Support Lead,Customer Success Lead,Operations Lead,Executive Sponsor
MAP-00247,BU-003,PROC-053,Medium,2,Support Lead,Customer Success Lead,Operations Lead,Executive Sponsor
MAP-00248,BU-003,PROC-054,Medium,2,Support Lead,Customer Success Lead,Operations Lead,Executive Sponsor
MAP-00249,BU-003,PROC-055,Medium,2,Support Lead,Customer Success Lead,Operations Lead,Executive Sponsor
MAP-00250,BU-003,PROC-056,Medium,2,Support Lead,Customer Success Lead,Operations Lead,Executive Sponsor
MAP-00251,BU-003,PROC-057,Low,2,Finance Lead,Executive Sponsor,Operations Lead,HR/People Ops
MAP-00252,BU-003,PROC-058,Medium,2,Finance Lead,Executive Sponsor,Operations Lead,HR/People Ops
MAP-00253,BU-003,PROC-059,Medium,2,Finance Lead,Executive Sponsor,Operations Lead,HR/People Ops
MAP-00254,BU-003,PROC-060,Low,2,Finance Lead,Executive Sponsor,Operations Lead,HR/People Ops
MAP-00255,BU-003,PROC-061,Low,2,Finance Lead,Executive Sponsor,Operations Lead,HR/People Ops
